Row 94: Col 0: 0.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.049584999680519104
Row 95: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.1488233357667923
Row 96: Col 0: 0.0, Col 1: 2.0, Col 2: 1.0, Col 3: 0.0, Target: 0.019999999552965164
Row 97: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.75
Row 98: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.11666666716337204
Row 99: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.1595766693353653
Row 100: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.125
Row 101: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.25
Row 102: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.06043166667222977
Row 103: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.10333333164453506
Row 104: Col 0: 1.0, Col 1: 0.0, Col 2: 0.0, Col 3: 2.0, Target: 0.12166666984558105
Row 105: Col 0: 1.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.08586499840021133
Row 106: Col 0: 1.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.3124033212661743
Row 107: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 0.0, Target: 0.19166666269302368
Row 108: Col 0: 2.0, Col 1: 0.0, Col 2: 1.0, Col 3: 1.0, Target: 0.25
Row 109: Col 0: 0.0, Col 1: 0.0, Col 2: 1.0, Col 3: 2.0, Target: 0.05071333423256874
Row 110: Col 0: 2.0, Col 1: 0.0, Col 2: 0.5, Col 3: 2.0, Target: 0.15760666131973267
