date,EBAY,NVDA,YHOO
2011-02-02 00:00:00,31.879998,nan,16.57
2011-02-03 00:00:00,32.05,nan,16.690001000000002
2011-02-04 00:00:00,32.209999,nan,16.790001
2011-02-07 00:00:00,32.239998,nan,16.799999
2011-02-08 00:00:00,32.639998,nan,16.6
2011-02-09 00:00:00,31.95,nan,16.43
2011-02-10 00:00:00,34.489999,nan,16.620001000000002
2011-02-11 00:00:00,34.51,nan,16.85
2011-02-14 00:00:00,33.86,nan,16.889999
2011-02-15 00:00:00,34.46,nan,17.200001
2011-02-16 00:00:00,34.46,nan,17.76
2011-02-17 00:00:00,34.689999,nan,17.77
2011-02-18 00:00:00,34.529999,nan,17.66
2011-02-22 00:00:00,33.649998,nan,16.91
2011-02-23 00:00:00,32.85,nan,16.58
2011-02-24 00:00:00,33.089998,nan,16.370001000000002
2011-02-25 00:00:00,33.629999,nan,16.5
2011-02-28 00:00:00,33.51,nan,16.4
2011-03-01 00:00:00,32.289998,nan,16.1
2011-03-02 00:00:00,32.679999,nan,16.629998999999998
2011-03-03 00:00:00,32.929999,nan,16.860001
2011-03-04 00:00:00,32.009999,nan,17.08
2011-03-07 00:00:00,31.5,nan,16.700001
2011-03-08 00:00:00,31.669999,nan,16.940001000000002
2011-03-09 00:00:00,31.329998,nan,17.65
2011-03-10 00:00:00,31.079998,nan,17.059998999999998
2011-03-11 00:00:00,30.919999,nan,17.42
2011-03-14 00:00:00,30.769998,nan,17.309998999999998
2011-03-15 00:00:00,30.44,nan,16.33
2011-03-16 00:00:00,29.73,nan,15.91
2011-03-17 00:00:00,29.949999,nan,15.86
2011-03-18 00:00:00,30.469998,nan,16.030001000000002
2011-03-21 00:00:00,30.579998,nan,16.290001
2011-03-22 00:00:00,30.219998,nan,16.360001
2011-03-23 00:00:00,30.669998,nan,16.129998999999998
2011-03-24 00:00:00,31.759999,nan,16.83
2011-03-25 00:00:00,31.7,nan,16.959999
2011-03-28 00:00:00,30.34,nan,16.58
2011-03-29 00:00:00,31.079998,nan,16.75
2011-03-30 00:00:00,31.629998,nan,16.74
2011-03-31 00:00:00,31.04,nan,16.68
2011-04-01 00:00:00,31.359999,nan,16.84
2011-04-04 00:00:00,31.39,nan,16.870001000000002
2011-04-05 00:00:00,31.84,nan,17.110001
2011-04-06 00:00:00,31.85,nan,17.049999
2011-04-07 00:00:00,31.529998,nan,17.0
2011-04-08 00:00:00,31.14,nan,16.77
2011-04-11 00:00:00,31.19,nan,16.59
2011-04-12 00:00:00,30.699999,nan,16.360001
2011-04-13 00:00:00,30.669998,nan,16.639999
2011-04-14 00:00:00,30.849999,nan,16.690001000000002
2011-04-15 00:00:00,31.609999,nan,16.620001000000002
2011-04-18 00:00:00,31.149999,nan,16.35
2011-04-19 00:00:00,31.149999,nan,16.120001000000002
2011-04-20 00:00:00,31.759999,nan,16.870001000000002
2011-04-21 00:00:00,31.95,nan,16.85
2011-04-25 00:00:00,32.96,nan,17.110001
2011-04-26 00:00:00,33.079999,nan,17.280001000000002
2011-04-27 00:00:00,34.029999,nan,17.26
2011-04-28 00:00:00,33.999998,nan,17.51
2011-04-29 00:00:00,34.389999,nan,17.700001
2011-05-02 00:00:00,33.639998,nan,nan
2011-05-03 00:00:00,33.539998,nan,nan
2011-05-04 00:00:00,33.01,nan,nan
2011-05-05 00:00:00,32.679999,nan,nan
2011-05-06 00:00:00,32.719999,nan,nan
2011-05-09 00:00:00,33.119999,nan,nan
2011-05-10 00:00:00,33.929999,nan,nan
2011-05-11 00:00:00,33.31,nan,nan
2011-05-12 00:00:00,33.579999,nan,nan
2011-05-13 00:00:00,33.569999,nan,nan
2011-05-16 00:00:00,32.369999,nan,nan
2011-05-17 00:00:00,32.65,nan,nan
2011-05-18 00:00:00,32.879999,nan,nan
2011-05-19 00:00:00,32.9,nan,nan
2011-05-20 00:00:00,32.479997999999995,nan,nan
2011-05-23 00:00:00,31.629998,nan,nan
2011-05-24 00:00:00,30.819998,nan,nan
2011-05-25 00:00:00,30.699999,nan,nan
2011-05-26 00:00:00,30.659999,nan,nan
2011-05-27 00:00:00,30.679998,nan,nan
2011-05-31 00:00:00,31.169999,nan,nan
2011-06-01 00:00:00,30.64,nan,nan
2011-06-02 00:00:00,31.279998,nan,nan
2011-06-03 00:00:00,30.299999,nan,nan
2011-06-06 00:00:00,29.559999,nan,nan
2011-06-07 00:00:00,29.919998,nan,nan
2011-06-08 00:00:00,30.569998,nan,nan
2011-06-09 00:00:00,30.659999,nan,nan
2011-06-10 00:00:00,29.959999,nan,nan
2011-06-13 00:00:00,29.859999,nan,nan
2011-06-14 00:00:00,29.759999,nan,nan
2011-06-15 00:00:00,28.659998,nan,nan
2011-06-16 00:00:00,28.47,nan,nan
2011-06-17 00:00:00,28.83,nan,nan
2011-06-20 00:00:00,28.82,nan,nan
2011-06-21 00:00:00,29.78,nan,nan
2011-06-22 00:00:00,29.349999,nan,nan
2011-06-23 00:00:00,29.249999,nan,nan
2011-06-24 00:00:00,28.349999,nan,nan
2011-06-27 00:00:00,28.709998,nan,nan
2011-06-28 00:00:00,28.959998,nan,nan
2011-06-29 00:00:00,30.859999,nan,nan
2011-06-30 00:00:00,32.269999,nan,nan
2011-07-01 00:00:00,32.739998,nan,nan
2011-07-05 00:00:00,32.639998,nan,nan
2011-07-06 00:00:00,32.919999,nan,nan
2011-07-07 00:00:00,33.329999,nan,nan
2011-07-08 00:00:00,33.419999,nan,nan
2011-07-11 00:00:00,32.91,nan,nan
2011-07-12 00:00:00,32.259999,nan,nan
2011-07-13 00:00:00,32.379998,nan,nan
2011-07-14 00:00:00,32.189998,nan,nan
2011-07-15 00:00:00,32.809999,nan,nan
2011-07-18 00:00:00,32.7,nan,nan
2011-07-19 00:00:00,33.76,nan,nan
2011-07-20 00:00:00,33.169999,nan,nan
2011-07-21 00:00:00,33.439998,nan,nan
2011-07-22 00:00:00,33.499998,nan,nan
2011-07-25 00:00:00,33.799997999999995,nan,nan
2011-07-26 00:00:00,34.419999,nan,nan
2011-07-27 00:00:00,33.36,nan,nan
2011-07-28 00:00:00,33.35,nan,nan
2011-07-29 00:00:00,32.75,nan,nan
2011-08-01 00:00:00,33.019999,nan,nan
2011-08-02 00:00:00,31.75,nan,nan
2011-08-03 00:00:00,32.25,nan,nan
2011-08-04 00:00:00,30.04,nan,nan
2011-08-05 00:00:00,29.299999,nan,nan
2011-08-08 00:00:00,26.949998,nan,nan
