CountryCode,CityName,Pop2017,Latitude,Longitude
AM,Voskevaz,3789,40.2797,44.295
AM,Vostan,2925,39.9589,44.5592
AM,Yeghegnavan,1221,39.8278,44.6372
AM,Yeghegnut,1746,40.0903,44.1625
AM,Yeghvard,10705,40.3217,44.4814
AM,Yeraskhahun,1346,40.0722,44.2158
AM,Yerazgavors,1285,40.7,43.75
AM,Yerevan,1093499,40.1811,44.5136
AM,Zangakatun,1130,39.8094,45.0511
AM,Zar,1340,40.2611,44.7361
AM,Zaritap,1323,39.6372,45.5086
AM,Zhdanov,1512,40.1617,44.0883
AM,Zorak,1390,40.0925,44.3919
AM,Zoravan,1167,40.3569,44.5231
AM,Zovaber,1470,40.5736,44.7864
AM,Zovuni,4484,40.5108,44.4289
AN,Barber,2424,12.2833,69.0667
AN,Golden Rock,823,17.4833,62.9833
AN,Hato,13,12.1833,68.2833
AN,Kralendijk,3081,12.15,68.2667
AN,Lagun,289,12.3167,69.1667
AN,Nieuwpoort,1937,12.05,68.8167
AN,Oranjestad,1097,17.4667,62.9833
AN,Rincon,1496,12.2333,68.3333
AN,Sint Michiel,5138,12.1333,68.9833
AN,Soto,1987,12.2667,69.1
AN,The Bottom,488,17.6333,63.25
AN,Westpunt,783,12.3667,69.1667
AN,Willemstad,97590,12.1,68.9167
AN,Windward Side,442,17.6333,63.2333
AO,Benguela,151235,12.5783,13.4072
AO,Caala,21205,12.8525,15.5606
AO,Cabinda,66020,5.55,12.2
AO,Caconda,10551,13.7333,15.0667
AO,Caluquembe,30305,13.7833,14.6833
AO,Camabatela,12839,8.18812,15.375
AO,Camacupa,19150,12.0167,17.4833
AO,Catabola,18858,12.15,17.2833
AO,Catumbela,16980,12.4314,13.5472
AO,Caxito,28229,8.58,13.6642
AO,Cazaje,4764,11.0671,20.7015
AO,Chissamba,7677,12.1667,17.3333
AO,Huambo,226177,12.7761,15.7392
AO,Kibala,8915,10.7337,14.9799
AO,Kuito,113624,12.3833,16.9333
AO,Leua,5168,11.65,20.45
AO,Lobito,207957,12.3197,13.5997
AO,Longonjo,24350,12.9067,15.2533
AO,Luanda,2776125,8.8368,13.2332
