acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.388,['Alec Benjamin'],0.723,218893.0,3.648216666666667,0.504,0.0,4IhKLu7Vk3j2TLmnFPl6To,7.4e-05,8.0,0.087,-5.572,1.0,Water Fountain,79.0,2018-11-16,0.0392,133.975,0.551,2018.0
0.00727,["Destiny's Child"],0.8140000000000001,242013.0,4.03355,0.899,0.0,4dvQg9sD8k9y4qiEURuj8v,0.219,1.0,0.0979,-5.9579999999999975,1.0,Lose My Breath,57.0,2004-11-16,0.0637,119.011,0.545,2004.0
0.0185,['Wu-Tang Clan'],0.8029999999999999,233640.0,3.8939999999999997,0.868,1.0,2YfYTyShcbMFFWaZQXKb5V,0.0,6.0,0.0821,-3.903,1.0,Rules,45.0,2001-12-18,0.304,95.514,0.936,2001.0
0.0146,['Eminem'],0.878,309760.0,5.1626666666666665,0.595,1.0,3xVtc7PB4V3AqAfq4Iahli,6.8e-05,11.0,0.328,-3.924,0.0,I'm Back,59.0,2000-05-23,0.203,89.995,0.851,2000.0
0.0656,['Third Day'],0.364,199760.0,3.329333333333333,0.654,0.0,0P5qOLfYWTL1tEzCkTCjbE,0.0,2.0,0.201,-6.648,1.0,Show Me Your Glory,40.0,2001,0.0359,158.0,0.241,2001.0
0.0318,['6ix9ine' 'Nicki Minaj'],0.762,202667.0,3.3777833333333334,0.423,0.0,4HreNRemFIo8zi38IGFl7U,0.000516,1.0,0.109,-8.649,1.0,TROLLZ (with Nicki Minaj),68.0,2020-06-12,0.281,180.06799999999996,0.43,2020.0
0.177,['Regard'],0.88,157606.0,2.6267666666666667,0.7509999999999999,0.0,2tnVG71enUj33Ic2nFN6kZ,6.43e-05,7.0,0.106,-4.258,0.0,Ride It,90.0,2019-07-26,0.0874,117.948,0.884,2019.0
4.62e-06,['Five Finger Death Punch'],0.513,209493.0,3.4915499999999997,0.976,1.0,00cP5rqzL6ZrwMaqTEeGIN,0.00034,11.0,0.117,-3.117,1.0,Hard To See,53.0,2009-09-22,0.17,111.992,0.133,2009.0
0.562,['Deitrick Haddon'],0.757,302000.0,5.033333333333333,0.405,0.0,1I3v23MpvlCQQ7ugP7jkQ0,4.43e-06,8.0,0.275,-6.15,1.0,Sinner's Prayer,41.0,2002,0.0908,134.026,0.382,2002.0
0.445,['Best Coast'],0.13699999999999998,178080.0,2.9680000000000004,0.821,0.0,7Cb9fYGYtFaANCaqYEOCDC,0.757,7.0,0.309,-4.59,1.0,When I'm With You,49.0,2010-06-26,0.0548,145.166,0.306,2010.0
0.21,['The xx'],0.94,188120.0,3.1353333333333335,0.208,0.0,4ORbUYpR6MDsJYTHh3xBWH,0.085,9.0,0.105,-15.235,0.0,Basic Space,44.0,2009-08-18,0.0853,115.872,0.14800000000000002,2009.0
