acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.991,['Frédéric Chopin' 'Khatia Buniatishvili'],0.314,199773.0,3.32955,0.0157,0.0,1lOVilzLQuYY2fnFrQ76DK,0.916,1.0,0.134,-36.252,0.0,Waltz in C-Sharp Minor Op. 64 No. 2,58.0,2012-09-14,0.0356,95.89,0.0939,2012.0
0.987,['Luke Howard'],0.301,367667.0,6.1277833333333325,0.0089,0.0,3oRuCzqdduzZ2CBhAtv8zO,0.907,1.0,0.101,-30.804,1.0,Portrait Gallery,56.0,2013-05-06,0.0371,127.536,0.0897,2013.0
0.961,['Kodaline'],0.398,241640.0,4.027333333333333,0.151,0.0,5Wjf9NsW6QCmBiDIdVvMbP,0.0443,4.0,0.0923,-14.402,1.0,Love Like This - Acoustic,60.0,2013-06-17,0.0342,107.068,0.0749,2013.0
0.977,['Sam Smith'],0.389,221050.0,3.684166666666667,0.294,0.0,3XyU03WycJQ02kExHb9dqW,0.00393,8.0,0.107,-5.4289999999999985,1.0,Latch - Acoustic,51.0,2013-01-01,0.0277,88.63600000000002,0.243,2013.0
0.995,['Otto Totland'],0.494,165995.0,2.7665833333333336,0.0453,0.0,2Ai5UUXyxaulVbompgrzlo,0.927,5.0,0.112,-28.914,1.0,Pinô,57.0,2014-01-31,0.0378,80.743,0.103,2014.0
0.996,['Max Richter'],0.384,75849.0,1.26415,0.0034100000000000003,0.0,3KG9I4JXpDwNQOsotE3uLh,0.943,0.0,0.0964,-39.053,0.0,The Departure,59.0,2014-12-02,0.0447,116.941,0.117,2014.0
0.991,['Edvard Grieg' 'Cyprien Katsaris'],0.31,233107.0,3.8851166666666668,0.0532,0.0,70nfm7IEXnFdxLtvxdXnZq,0.913,4.0,0.0917,-26.802,1.0,Peer Gynt Suite No. 1 Op. 46: Morning Mood - Arr. for Piano,57.0,2014-11-15,0.0401,67.711,0.0719,2014.0
0.993,['Charles Gounod' 'Yo-Yo Ma'],0.132,163267.0,2.7211166666666666,0.0195,0.0,2kyEgPaAW8wdpvevPnkf0Z,0.888,0.0,0.0569,-29.76,1.0,Ave Maria,62.0,2015-09-18,0.0445,81.616,0.14,2015.0
0.98,['Sergei Rachmaninoff' 'Daniil Trifonov' 'Philadelphia Orchestra' 'Yannick Nézet-Séguin'],0.205,174653.0,2.910883333333333,0.0525,0.0,5xcYuTciYwyCDPkOgYBAYz,0.906,1.0,0.103,-23.841,1.0,Rhapsody On A Theme Of Paganini Op.43: Variation 18. Andante cantabile,55.0,2015-08-28,0.0327,88.316,0.0511,2015.0
0.956,['Sleeping At Last'],0.447,240791.0,4.013183333333333,0.206,0.0,7fkXzzIVo98CgjOkpd9H0V,4.56e-06,3.0,0.107,-11.75,1.0,Already Gone,63.0,2015-10-06,0.0519,66.734,0.327,2015.0
0.965,['Novo Amor' 'Ed Tullett'],0.353,194160.0,3.2359999999999998,0.311,0.0,5eG8QuQKOBvDeCyoOeMkhT,0.0315,3.0,0.204,-10.377,1.0,Alps,62.0,2016-04-15,0.0321,146.696,0.135,2016.0
0.995,['Otto Wahl'],0.429,180774.0,3.0129,0.0541,0.0,0sDqqcELNvGWI5u8mBxESD,0.928,10.0,0.114,-26.759,0.0,Awakening,62.0,2016-07-20,0.0411,122.311,0.0569,2016.0
0.98,['Karin Borg'],0.278,95317.0,1.5886166666666666,0.0434,0.0,3toYHht60pj16nNK0e2HZy,0.919,0.0,0.121,-22.396,0.0,Norrsken,63.0,2016-07-20,0.0383,133.85299999999998,0.0397,2016.0
0.976,['Justin Hurwitz'],0.476,98040.0,1.6340000000000001,0.192,0.0,1Vk4yRsz0iBzDiZEoFMQyv,0.928,9.0,0.119,-15.753,1.0,Mia & Sebastian’s Theme,63.0,2016-12-09,0.064,116.542,0.114,2016.0
0.989,['LUCHS'],0.358,192750.0,3.2125,0.00409,0.0,5PYHriludkxUAvdUZvs0xj,0.935,10.0,0.0998,-28.239,0.0,Reverie,62.0,2016-06-17,0.0475,81.654,0.108,2016.0
0.961,['Deep Sleep Music Collective'],0.0624,122175.0,2.03625,0.000868,0.0,2XrM7sxDMFn2LaKB7ITlJs,0.918,2.0,0.187,-37.475,1.0,Sleep Music (Distant Lands),62.0,2016-11-07,0.0514,70.914,0.134,2016.0
0.994,['Neneh Yacobi'],0.298,180578.0,3.0096333333333334,0.0873,0.0,5tdcH4SoS9ViDo8vtSRsft,0.957,9.0,0.106,-19.083,1.0,Here Comes The Sun,66.0,2017-10-26,0.0598,211.823,0.407,2017.0
0.979,['In Love With a Ghost' 'Nori'],0.6409999999999999,252121.0,4.202016666666667,0.24,0.0,5VnaOLeK1lKfULuNwet8ck,0.866,8.0,0.234,-19.107,1.0,Flowers,63.0,2017-10-23,0.047,99.02,0.32,2017.0
0.992,['Charlie Francis'],0.588,112875.0,1.88125,0.0185,0.0,35h1sceqSdzCftH12t0LkT,0.917,7.0,0.0943,-20.676,1.0,Twinkle Twinkle Little Star,66.0,2017-05-11,0.0542,121.072,0.5,2017.0
0.987,['Leny Bhoelai'],0.15,190000.0,3.1666666666666665,0.0289,0.0,7DtluO7XUoL5wf2imEgkXl,0.941,2.0,0.119,-30.292,1.0,This night,66.0,2019-11-29,0.0482,137.02700000000002,0.0922,2019.0
0.972,['Benjamin Martins'],0.162,192000.0,3.2,0.00109,0.0,19rahpLlANnHrR9kXyYDOP,0.913,11.0,0.0851,-47.452,0.0,Clear Conscience,67.0,2019-12-04,0.0478,109.255,0.0536,2019.0
0.951,['Yolta'],0.281,216609.0,3.61015,0.0197,0.0,7xD5j8ZCGDAPTTH5EfAVRf,0.889,1.0,0.108,-21.443,1.0,Relaxation,67.0,2019-03-24,0.0353,135.488,0.039,2019.0
0.977,['Havanna Chandri'],0.264,127865.0,2.131083333333333,0.0148,0.0,7vfYsS34eZojVLXsknEj1J,0.892,3.0,0.107,-28.971,1.0,My Sleeping Rose,68.0,2019-09-18,0.041,75.587,0.0495,2019.0
0.963,['Airship Express'],0.255,184250.0,3.0708333333333333,0.118,0.0,0vpo0LIlSsiqIWf44ydK2z,0.897,6.0,0.101,-20.562,1.0,Sea Of Colors,66.0,2019-11-01,0.0769,139.642,0.109,2019.0
0.954,['John Ocean'],0.127,207373.0,3.4562166666666667,0.136,0.0,10zmtHvaMOZKQrdTsvRJyP,0.932,8.0,0.108,-19.946,1.0,Rainy Clouds,70.0,2019-08-30,0.0445,81.163,0.0368,2019.0
0.969,['Anson Seabra'],0.535,270462.0,4.5077,0.115,0.0,2QDMQcbiWYlyuLa9wFnnBX,6.17e-06,10.0,0.175,-15.097,1.0,That's Us,69.0,2019-05-17,0.0526,129.11700000000002,0.253,2019.0
0.961,['The Tides'],0.155,224000.0,3.7333333333333334,0.00512,0.0,65AHFH7pRxxMrFDsFVH5Hv,0.894,8.0,0.1,-36.056,0.0,Your Peace,67.0,2019-11-18,0.0419,78.206,0.183,2019.0
0.98,['Eva Cassidy'],0.333,167160.0,2.786,0.131,0.0,6JPfz2RTDVYqNxMcXSwQWZ,0.152,10.0,0.113,-20.837,1.0,Kathy's Song,49.0,2000,0.0311,92.31,0.318,2000.0
0.996,['Jacques Ibert' 'Hae Won Chang'],0.409,104827.0,1.7471166666666667,0.0021100000000000003,0.0,6z5Pd7UoLA6e1AlHYeVzqA,0.941,0.0,0.0652,-40.486,1.0,Petite suite en 15 images: Berceuse aux etoiles (Lullaby under the Stars),42.0,2000-04-13,0.0668,72.365,0.547,2000.0
