108,Katrin,Beyer,ETH Lausanne,EPF,Lausanne,Board member,"Swiss Society for Earthquake Engineering and Structural Dynamic, Zürich","Commerce, trade & services"
109,Katrin,Beyer,ETH Lausanne,EPF,Lausanne,Expert consulting for OFROU,"Muttoni & Fernandez Ingénieurs Conseils SA, Ecublens","Commerce, trade & services"
110,Andreas,Beyer,Uni Basel,UBA,Basel,Mitglied des Auswahlausschusses,Alexander von Humboldt Stiftung,Education & research
111,Andreas,Beyer,Uni Basel,UBA,Basel,Präsident der wissenschaftlichen Kommission,Schweizerisches Institut für Kunstwissenschaft,Education & research
112,Andreas,Beyer,Uni Basel,UBA,Basel,Sprecher des Forschugnsverbunds Bilderfahrzeuge - Aby Warbug's Legacy and the Future of Iconology,Bundesministerium für Bildung und Forschung,"Politics, administration, justice system & security sector"
113,Andreas,Beyer,Uni Basel,UBA,Basel,Vorsitzender wissenschaftlicher Beirat,Gerda Henkel-Stiftung,Education & research
114,Thomas,Bieger,Uni St. Gallen,USG,Saint Gallen,Mitglied,Genossenschaft Olma Messen St. Gallen,"Industry, construction & agriculture"
115,Thomas,Bieger,Uni St. Gallen,USG,Saint Gallen,Präsident,SBB Forschungsfonds,Education & research
116,Thomas,Bieger,Uni St. Gallen,USG,Saint Gallen,Stiftungsrat,Dr. Heinrich Wachter zur Förderung der wissenschaftlichen Forschung an der Hochschule St. Gallen für Wirtschafts- und Sozialwissenschaften,Education & research
117,Thomas,Bieger,Uni St. Gallen,USG,Saint Gallen,Stiftungsrat,ITS Foundation. International Tourism Symposium,"Commerce, trade & services"
118,Thomas,Bieger,Uni St. Gallen,USG,Saint Gallen,Stiftungsrat,Max Schmidheiny zugunsten der Universität St. Gallen und ihrer Institute,Education & research
119,Thomas,Bieger,Uni St. Gallen,USG,Saint Gallen,Stiftungsrat,St. Galler Stiftung für Internationale Studien,Education & research
120,Thomas,Bieger,Uni St. Gallen,USG,Saint Gallen,Stiftungsrat,Swiss Luftfahrtstiftung,"Energy, environment & mobility"
121,Thomas,Bieger,Uni St. Gallen,USG,Saint Gallen,Verwaltungsratspräsident,Jungfraubahn Holding AG,"Energy, environment & mobility"
122,Thomas,Bieger,Uni St. Gallen,USG,Saint Gallen,Verwaltungsratspräsident,Jungfraubahnen Management AG,"Energy, environment & mobility"
123,Thomas,Bieger,Uni St. Gallen,USG,Saint Gallen,Verwaltungsratspräsident,Schweizer Gesellschaft für Hotelkredit,"Commerce, trade & services"
124,Thomas,Bieger,Uni St. Gallen,USG,Saint Gallen,Verwaltungsratsvizepräsident,Bergbahnen Disentis,"Energy, environment & mobility"
125,Anton F.H.,Bierl,Uni Basel,UBA,Basel,Mitglied des Stiftungsrates,Vischer-Heusler Stiftung,Not classifiable
126,Michel,Bierlaire,ETH Lausanne,EPF,Lausanne,Conseil d'administration ENTPE (non rémunéré),"Etat français, Lyon",Not classifiable
127,Michel,Bierlaire,ETH Lausanne,EPF,Lausanne,Consultance Technique en optimisation,OPTIMIS HCM Echandens,"Consulting, public relations, legal & trust"
128,Aude,Billard,ETH Lausanne,EPF,Lausanne,Présidente,Association Amies et Amis de la Fondation EPFL-WISH,Education & research
129,Alexandre,Blanc,ETH Lausanne,EPF,Lausanne,Architecte EPFL-FAS-SIA,"Bakker & Blanc Architectes, Lausanne","Industry, construction & agriculture"
130,Olaf,Blanke,Uni Genf,UGE,Geneva,Professeur à 20%,Université de Genève,Education & research
131,Gérard,Bless,Uni Freiburg,UFR,Fribourg,Leitung des regionalen Schuldienstes des Heilpädagogischen Instituts,Universität Freiburg,Education & research
132,René,Bloch,Uni Bern,UBE,Bern,NA,Jakob und Werner Wyler-Stiftung Zürich,"Society, Social, Culture & Sports"
133,Christian,Bochet,Uni Freiburg,UFR,Fribourg,Präsident,Atlas Photonics Sàrl,Technology
134,Geoffrey,Bodenhausen,Uni Lausanne,ULA,Lausanne,Professeur,ENS Paris,Education & research
135,Christoph Hans,Boesch,Uni Bern,UBE,Bern,NA,Jubiläumsstiftung Mobiliar,"Society, Social, Culture & Sports"
136,Luca,Bona,ETH Lausanne,EPF,Lausanne,Directeur (form directly submitted to ETH Board),EMPA,Education & research
137,Giuliano,Bonoli,Uni Lausanne,ULA,Lausanne,Mandat,Centre de formation professionnel spécialisé ORIF,Education & research
138,Giuliano,Bonoli,Uni Lausanne,ULA,Lausanne,Mandat,Commission fédérale des questions familiales,"Society, Social, Culture & Sports"
139,Dominique,Bonvin,ETH Lausanne,EPF,Lausanne,"Consulting, conseil scientifique","ONLINE Control Sàrl, Lausanne",Technology
140,Birgitt,Borkopp,Uni Bern,UBE,Bern,Mitglied des Dachstiftungsrates,Kunstmuseum Bern,"Society, Social, Culture & Sports"
141,Birgitt,Borkopp,Uni Bern,UBE,Bern,Mitglied des Stiftungsrates,Museum Schloss Thun,"Society, Social, Culture & Sports"
142,Ioannis,Botsis,ETH Lausanne,EPF,Lausanne,"Scientific Consultant in 2 projects, THALES, Greece","University of Piraeus, Grèce",Education & research
143,Hervé,Bourlard,ETH Lausanne,EPF,Lausanne,Board of directors and shareholder,"Koemei, SA (Idiap's spin-off)",Technology
144,Hervé,Bourlard,ETH Lausanne,EPF,Lausanne,Director,Idiap Research Institute,Education & research
145,Hervé,Bourlard,ETH Lausanne,EPF,Lausanne,External Fellow and Member of the Board of Trustees,"Intl. Computer Science Institute (ICSI), Berkeley, CA",Education & research
146,Hervé,Bourlard,ETH Lausanne,EPF,Lausanne,Member (vice-president) of the Board of Directors,IdeArk SA (IDIAP's technology transfer instrument),"Consulting, public relations, legal & trust"
147,Hervé,Bourlard,ETH Lausanne,EPF,Lausanne,Member of the Advisory Board,"Privately SA, Switzerland",Technology
148,Hervé,Bourlard,ETH Lausanne,EPF,Lausanne,Member of the Advisory Board,"Voxta Inc., India",Media & communication
149,Hervé,Bourlard,ETH Lausanne,EPF,Lausanne,Member of the Foundation Council,Fondation Dalle Molle,"Society, Social, Culture & Sports"
150,Roman,Boutellier,ETH Zürich,ETH,Zurich,NA,Stiftung Swiss Innovation Park,"Commerce, trade & services"
151,Roman,Boutellier,ETH Zürich,ETH,Zurich,Stiftungsrat,Huber-Kudlich-Stiftung an der Eidgenössischen Technischen Hochschule Zürich,Education & research
152,Roman,Boutellier,ETH Zürich,ETH,Zurich,VR-Mandat,Ammann BauAusrüstung AG,"Commerce, trade & services"
153,Roman,Boutellier,ETH Zürich,ETH,Zurich,VR-Mandat,Appenzeller Kantonalbank,Financial industry & insurances
154,Roman,Boutellier,ETH Zürich,ETH,Zurich,VR-Mandat,Georg Fischer AG,"Industry, construction & agriculture"
155,Roman,Boutellier,ETH Zürich,ETH,Zurich,VR-Mandat,Rychiger AG,"Industry, construction & agriculture"
156,Christian,Bovet,Uni Genf,UGE,Geneva,Membre et Président du conseil,Fondation Professeur Walther Hug,Education & research
157,Christian,Bovet,Uni Genf,UGE,Geneva,Président du comité d'audit et membre du conseil d'adminstration,BPN Paribas (Suisse) SA,Financial industry & insurances
158,Urs,Brägger,Uni Bern,UBE,Bern,NA,ub-invent GmbH,Pharma & health
159,Nicola,Braghieri,ETH Lausanne,EPF,Lausanne,Architecte associé (10%),"EX-M, Milan","Industry, construction & agriculture"
160,Torsten,Braun,Uni Bern,UBE,Bern,Mitglied des Stiftungsrats und dessen Ausschuss,SWITCH,Technology
161,Walter,Brenner,Uni St. Gallen,USG,Saint Gallen,Beratungstätigkeit,ITMC AG,Technology
162,Walter,Brenner,Uni St. Gallen,USG,Saint Gallen,Informatik-Lenkungsausschuss,Landesregierung Vorarlberg,"Politics, administration, justice system & security sector"
163,Walter,Brenner,Uni St. Gallen,USG,Saint Gallen,Verwaltungsratspräsident,ITMP AG,"Consulting, public relations, legal & trust"
164,Martin,Brown,Uni St. Gallen,USG,Saint Gallen,Background Note on the Impact of Banking Crises on Households in Emerging Europe for World Development Report 2014,World Bank,Financial industry & insurances
165,Martin,Brown,Uni St. Gallen,USG,Saint Gallen,Consultant for Financial Literacy,Swiss National Bank,Financial industry & insurances
166,Martin,Brown,Uni St. Gallen,USG,Saint Gallen,Consultant for Financial Literacy,Verband der Schweizerischen Kantonalbanken,Financial industry & insurances
